SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0246.JPG,22_18_WF_0246.JPG,810 kB,BTC5HDP,2019:01:14 10:17:28,2000x1111,42.0 mm,1/108,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0247.JPG,22_18_WF_0247.JPG,844 kB,BTC5HDP,2019:01:15 16:38:57,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0248.JPG,22_18_WF_0248.JPG,793 kB,BTC5HDP,2019:01:15 16:39:00,2000x1111,42.0 mm,25-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0005.JPG,32_17_WHIP_0005.JPG,754 kB,BTC5HDP,2018:12:16 05:58:37,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0249.JPG,22_18_WF_0249.JPG,864 kB,BTC5HDP,2019:01:15 16:39:02,2000x1111,42.0 mm,Jan-32,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0003.JPG,33_01_WF_0003.JPG,755 kB,BTC5HDP,2018:11:12 17:15:58,2000x1111,42.0 mm,15-Jan,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0250.JPG,22_18_WF_0250.JPG,722 kB,BTC5HDP,2019:01:16 07:18:43,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0006.JPG,32_17_WHIP_0006.JPG,875 kB,BTC5HDP,2018:12:16 05:58:39,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0251.JPG,22_18_WF_0251.JPG,777 kB,BTC5HDP,2019:01:16 07:18:45,2000x1111,42.0 mm,21-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0252.JPG,22_18_WF_0252.JPG,866 kB,BTC5HDP,2019:01:16 07:18:47,2000x1111,42.0 mm,24-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0253.JPG,22_18_WF_0253.JPG,812 kB,BTC5HDP,2019:01:16 07:31:23,2000x1111,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0007.JPG,32_17_WHIP_0007.JPG,844 kB,BTC5HDP,2018:12:16 05:59:44,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0254.JPG,22_18_WF_0254.JPG,804 kB,BTC5HDP,2019:01:16 07:31:25,2000x1111,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0004.JPG,33_01_WF_0004.JPG,744 kB,BTC5HDP,2018:11:27 17:16:10,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0255.JPG,22_18_WF_0255.JPG,803 kB,BTC5HDP,2019:01:16 07:31:27,2000x1111,42.0 mm,15-Jan,2.4,200,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0008.JPG,32_17_WHIP_0008.JPG,848 kB,BTC5HDP,2018:12:16 05:59:46,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0256.JPG,22_18_WF_0256.JPG,849 kB,BTC5HDP,2019:01:16 12:00:22,2000x1111,42.0 mm,1/304,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0257.JPG,22_18_WF_0257.JPG,846 kB,BTC5HDP,2019:01:16 12:00:24,2000x1111,42.0 mm,1/304,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0258.JPG,22_18_WF_0258.JPG,853 kB,BTC5HDP,2019:01:16 12:00:26,2000x1111,42.0 mm,1/304,2.4,100,Unknown (288),"Auto, Did not fire"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0009.JPG,32_17_WHIP_0009.JPG,798 kB,BTC5HDP,2018:12:16 05:59:48,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0259.JPG,22_18_WF_0259.JPG,825 kB,BTC5HDP,2019:01:16 16:46:50,2000x1111,42.0 mm,22-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0005.JPG,33_01_WF_0005.JPG,849 kB,BTC5HDP,2018:11:27 17:16:12,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0260.JPG,22_18_WF_0260.JPG,795 kB,BTC5HDP,2019:01:16 16:46:52,2000x1111,42.0 mm,Jan-32,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0010.JPG,32_17_WHIP_0010.JPG,833 kB,BTC5HDP,2018:12:16 06:00:49,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0261.JPG,22_18_WF_0261.JPG,784 kB,BTC5HDP,2019:01:16 16:46:54,2000x1111,42.0 mm,Jan-36,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0262.JPG,22_18_WF_0262.JPG,796 kB,BTC5HDP,2019:01:16 16:48:22,2000x1111,42.0 mm,28-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0263.JPG,22_18_WF_0263.JPG,781 kB,BTC5HDP,2019:01:16 16:48:24,2000x1111,42.0 mm,Jan-33,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0011.JPG,32_17_WHIP_0011.JPG,855 kB,BTC5HDP,2018:12:16 06:00:51,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0264.JPG,22_18_WF_0264.JPG,777 kB,BTC5HDP,2019:01:16 16:48:26,2000x1111,42.0 mm,Jan-35,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0006.JPG,33_01_WF_0006.JPG,855 kB,BTC5HDP,2018:11:27 17:16:14,2000x1111,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0265.JPG,22_18_WF_0265.JPG,757 kB,BTC5HDP,2019:01:16 16:59:45,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/32_17_WHIP_0012.JPG,32_17_WHIP_0012.JPG,855 kB,BTC5HDP,2018:12:16 06:00:53,2000x1111,42.0 mm,20-Jan,2.4,200,Unknown (288),"Auto, Fired"
/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0266.JPG,22_18_WF_0266.JPG,807 kB,BTC5HDP,2019:01:16 16:59:47,2000x1111,42.0 mm,Jan-35,2.4,100,Unknown (288),"Auto, Fired"
