"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Sort","Event"
"2437","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0201.JPG","33_01_WF_0201.JPG","829 kB","BTC5HDP",2019-01-30 10:14:02,"2000x1111","42.0 mm","1/1117",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 10:14:02",794
"2438","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0508.JPG","29_19_DEG_0508.JPG","860 kB","BTC5HDP",2019-01-30 11:30:09,"2000x1111","42.0 mm","1/1166",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 11:30:09",795
"2439","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0509.JPG","29_19_DEG_0509.JPG","858 kB","BTC5HDP",2019-01-30 11:30:11,"2000x1111","42.0 mm","1/1117",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 11:30:11",795
"2440","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0510.JPG","29_19_DEG_0510.JPG","859 kB","BTC5HDP",2019-01-30 11:30:13,"2000x1111","42.0 mm","1/1069",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 11:30:13",795
"2441","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0511.JPG","29_19_DEG_0511.JPG","833 kB","BTC5HDP",2019-01-30 11:32:34,"2000x1111","42.0 mm","1/861",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 11:32:34",796
"2442","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0512.JPG","29_19_DEG_0512.JPG","827 kB","BTC5HDP",2019-01-30 11:32:36,"2000x1111","42.0 mm","1/861",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 11:32:36",796
"2443","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0513.JPG","29_19_DEG_0513.JPG","835 kB","BTC5HDP",2019-01-30 11:32:38,"2000x1111","42.0 mm","1/899",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 11:32:38",796
"2444","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0514.JPG","29_19_DEG_0514.JPG","809 kB","BTC5HDP",2019-01-30 12:27:32,"2000x1111","42.0 mm","1/664",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 12:27:32",797
"2445","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0515.JPG","29_19_DEG_0515.JPG","811 kB","BTC5HDP",2019-01-30 12:27:34,"2000x1111","42.0 mm","1/664",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 12:27:34",797
"2446","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0516.JPG","29_19_DEG_0516.JPG","812 kB","BTC5HDP",2019-01-30 12:27:36,"2000x1111","42.0 mm","1/664",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 12:27:36",797
"2447","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0517.JPG","29_19_DEG_0517.JPG","774 kB","BTC5HDP",2019-01-30 14:56:33,"2000x1111","42.0 mm","1/292",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 14:56:33",798
"2448","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0518.JPG","29_19_DEG_0518.JPG","773 kB","BTC5HDP",2019-01-30 14:56:35,"2000x1111","42.0 mm","1/292",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 14:56:35",798
"2449","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0519.JPG","29_19_DEG_0519.JPG","772 kB","BTC5HDP",2019-01-30 14:56:37,"2000x1111","42.0 mm","1/292",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 14:56:37",798
"2450","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0520.JPG","29_19_DEG_0520.JPG","764 kB","BTC5HDP",2019-01-30 15:43:26,"2000x1111","42.0 mm","1/112",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 15:43:26",799
"2451","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0521.JPG","29_19_DEG_0521.JPG","766 kB","BTC5HDP",2019-01-30 15:43:28,"2000x1111","42.0 mm","1/112",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 15:43:28",799
"2452","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0522.JPG","29_19_DEG_0522.JPG","764 kB","BTC5HDP",2019-01-30 15:43:30,"2000x1111","42.0 mm","1/112",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 15:43:30",799
"2453","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0523.JPG","29_19_DEG_0523.JPG","850 kB","BTC5HDP",2019-01-30 16:03:31,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 16:03:31",800
"2454","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0524.JPG","29_19_DEG_0524.JPG","854 kB","BTC5HDP",2019-01-30 16:03:33,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 16:03:33",800
"2455","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0525.JPG","29_19_DEG_0525.JPG","855 kB","BTC5HDP",2019-01-30 16:03:35,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 16:03:35",800
"2456","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/21_21_DON_0042.JPG","21_21_DON_0042.JPG","845 kB","BTC5HDP",2019-01-30 16:52:03,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 16:52:03",801
"2457","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/21_21_DON_0043.JPG","21_21_DON_0043.JPG","854 kB","BTC5HDP",2019-01-30 16:52:05,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 16:52:05",801
"2458","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/21_21_DON_0044.JPG","21_21_DON_0044.JPG","853 kB","BTC5HDP",2019-01-30 16:52:07,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 16:52:07",801
"2459","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000181.JPG","11_13_BC_000181.JPG","831 kB","",2019-01-31 09:08:14,"2000x1500","","0",2.8,100,"","No Flash","2019-01-31 09:08:14",802
"2460","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000182.JPG","11_13_BC_000182.JPG","831 kB","",2019-01-31 09:08:14,"2000x1500","","0",2.8,100,"","No Flash","2019-01-31 09:08:14",802
"2461","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/11_13_BC_000183.JPG","11_13_BC_000183.JPG","831 kB","",2019-01-31 09:08:14,"2000x1500","","0",2.8,100,"","No Flash","2019-01-31 09:08:14",802
"2462","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0202.JPG","33_01_WF_0202.JPG","725 kB","BTC5HDP",2019-01-31 12:36:57,"2000x1111","42.0 mm","1/1069",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 12:36:57",803
"2463","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0203.JPG","33_01_WF_0203.JPG","725 kB","BTC5HDP",2019-01-31 12:36:59,"2000x1111","42.0 mm","1/1069",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 12:36:59",803
"2464","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0204.JPG","33_01_WF_0204.JPG","726 kB","BTC5HDP",2019-01-31 12:37:01,"2000x1111","42.0 mm","1/1069",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 12:37:01",803
"2465","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0205.JPG","33_01_WF_0205.JPG","785 kB","BTC5HDP",2019-01-31 12:45:20,"2000x1111","42.0 mm","Jan-20",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 12:45:20",804
"2466","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0206.JPG","33_01_WF_0206.JPG","780 kB","BTC5HDP",2019-01-31 12:45:21,"2000x1111","42.0 mm","Jan-48",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 12:45:21",804
"2467","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0207.JPG","33_01_WF_0207.JPG","786 kB","BTC5HDP",2019-01-31 12:45:23,"2000x1111","42.0 mm","Jan-20",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 12:45:23",804
"2468","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0526.JPG","29_19_DEG_0526.JPG","812 kB","BTC5HDP",2019-01-31 13:16:12,"2000x1111","42.0 mm","1/939",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 13:16:12",805
"2469","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0527.JPG","29_19_DEG_0527.JPG","801 kB","BTC5HDP",2019-01-31 13:16:15,"2000x1111","42.0 mm","1/939",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 13:16:15",805
"2470","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0528.JPG","29_19_DEG_0528.JPG","789 kB","BTC5HDP",2019-01-31 13:16:17,"2000x1111","42.0 mm","1/790",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 13:16:17",805
"2471","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0529.JPG","29_19_DEG_0529.JPG","796 kB","BTC5HDP",2019-01-31 14:11:04,"2000x1111","42.0 mm","1/279",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 14:11:04",806
"2472","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0530.JPG","29_19_DEG_0530.JPG","795 kB","BTC5HDP",2019-01-31 14:11:07,"2000x1111","42.0 mm","1/279",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-31 14:11:07",806
