"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Sort"
"70","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0005.JPG","24_04_BC_0005.JPG","838 kB","BTC5HDP",2018-11-15 12:34:30,"2000x1111","42.0 mm","1/480",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:34:30"
"71","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0006.JPG","24_04_BC_0006.JPG","847 kB","BTC5HDP",2018-11-15 12:34:32,"2000x1111","42.0 mm","1/480",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:34:32"
"72","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0007.JPG","24_04_BC_0007.JPG","811 kB","BTC5HDP",2018-11-15 12:35:36,"2000x1111","42.0 mm","1/395",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:35:36"
"73","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0008.JPG","24_04_BC_0008.JPG","875 kB","BTC5HDP",2018-11-15 12:35:38,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:35:38"
"74","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0009.JPG","24_04_BC_0009.JPG","858 kB","BTC5HDP",2018-11-15 12:35:40,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:35:40"
"75","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0010.JPG","24_04_BC_0010.JPG","852 kB","BTC5HDP",2018-11-15 12:36:41,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:36:41"
"76","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0011.JPG","24_04_BC_0011.JPG","875 kB","BTC5HDP",2018-11-15 12:36:43,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:36:43"
"77","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0012.JPG","24_04_BC_0012.JPG","873 kB","BTC5HDP",2018-11-15 12:36:45,"2000x1111","42.0 mm","1/395",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:36:45"
"78","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0013.JPG","24_04_BC_0013.JPG","863 kB","BTC5HDP",2018-11-15 12:37:46,"2000x1111","42.0 mm","1/470",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:37:46"
"79","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0014.JPG","24_04_BC_0014.JPG","820 kB","BTC5HDP",2018-11-15 12:37:48,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:37:48"
