,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Sort
1000,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0228.JPG,30_20_BC_0228.JPG,781 kB,BTC5HDP,4/11/17 5:09,2000x1111,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",4/11/17 5:09
1001,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0229.JPG,30_20_BC_0229.JPG,878 kB,BTC5HDP,4/14/17 0:10,2000x1111,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",4/14/17 0:10
1002,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0230.JPG,30_20_BC_0230.JPG,878 kB,BTC5HDP,4/14/17 0:10,2000x1111,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",4/14/17 0:10
1003,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0231.JPG,30_20_BC_0231.JPG,877 kB,BTC5HDP,4/14/17 0:10,2000x1111,42.0 mm,Jan-40,2.4,100,Unknown (288),"Auto, Did not fire",4/14/17 0:10
1004,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0232.JPG,30_20_BC_0232.JPG,862 kB,BTC5HDP,4/17/17 1:32,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:32
1005,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0233.JPG,30_20_BC_0233.JPG,849 kB,BTC5HDP,4/17/17 1:32,2000x1111,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:32
1006,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0234.JPG,30_20_BC_0234.JPG,849 kB,BTC5HDP,4/17/17 1:32,2000x1111,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:32
1007,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0235.JPG,30_20_BC_0235.JPG,860 kB,BTC5HDP,4/17/17 1:45,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:45
1008,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0236.JPG,30_20_BC_0236.JPG,847 kB,BTC5HDP,4/17/17 1:45,2000x1111,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:45
1009,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0237.JPG,30_20_BC_0237.JPG,847 kB,BTC5HDP,4/17/17 1:45,2000x1111,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:45
1010,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0238.JPG,30_20_BC_0238.JPG,858 kB,BTC5HDP,4/17/17 1:47,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:47
1011,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0239.JPG,30_20_BC_0239.JPG,844 kB,BTC5HDP,4/17/17 1:47,2000x1111,42.0 mm,12-Jan,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:47
1012,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0240.JPG,30_20_BC_0240.JPG,844 kB,BTC5HDP,4/17/17 1:47,2000x1111,42.0 mm,12-Jan,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:47
1013,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0241.JPG,30_20_BC_0241.JPG,856 kB,BTC5HDP,4/17/17 1:50,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:50
1014,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0242.JPG,30_20_BC_0242.JPG,843 kB,BTC5HDP,4/17/17 1:50,2000x1111,42.0 mm,12-Jan,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:50
1015,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0243.JPG,30_20_BC_0243.JPG,843 kB,BTC5HDP,4/17/17 1:50,2000x1111,42.0 mm,12-Jan,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:50
1016,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0244.JPG,30_20_BC_0244.JPG,856 kB,BTC5HDP,4/17/17 1:53,2000x1111,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:53
1017,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0245.JPG,30_20_BC_0245.JPG,842 kB,BTC5HDP,4/17/17 1:53,2000x1111,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:53
1018,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0246.JPG,30_20_BC_0246.JPG,843 kB,BTC5HDP,4/17/17 1:53,2000x1111,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",4/17/17 1:53
