SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
./21_40_DON_1014.JPG,21_40_DON_1014.JPG,809 kB,BTC5HDP,2019:11:01 08:02:52,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1014.JPG,._21_40_DON_1014.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1015.JPG,21_40_DON_1015.JPG,798 kB,BTC5HDP,2019:11:01 08:03:53,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1015.JPG,._21_40_DON_1015.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1016.JPG,21_40_DON_1016.JPG,792 kB,BTC5HDP,2019:11:01 08:03:56,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1016.JPG,._21_40_DON_1016.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1017.JPG,21_40_DON_1017.JPG,795 kB,BTC5HDP,2019:11:01 08:03:58,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1017.JPG,._21_40_DON_1017.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1018.JPG,21_40_DON_1018.JPG,805 kB,BTC5HDP,2019:11:01 08:05:04,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1018.JPG,._21_40_DON_1018.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1019.JPG,21_40_DON_1019.JPG,798 kB,BTC5HDP,2019:11:01 08:05:06,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1019.JPG,._21_40_DON_1019.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1020.JPG,21_40_DON_1020.JPG,793 kB,BTC5HDP,2019:11:01 08:05:08,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1020.JPG,._21_40_DON_1020.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1021.JPG,21_40_DON_1021.JPG,818 kB,BTC5HDP,2019:11:01 08:06:16,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1021.JPG,._21_40_DON_1021.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1022.JPG,21_40_DON_1022.JPG,825 kB,BTC5HDP,2019:11:01 08:06:18,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1022.JPG,._21_40_DON_1022.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1023.JPG,21_40_DON_1023.JPG,820 kB,BTC5HDP,2019:11:01 08:06:20,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
